rowid,consumption,income,floor_area,property_age,tenure,bedrooms,property_type,region,country,adults,scaled_income
446,12124.8535626859,28744.089352999,Over 250,1965 to 1983,Privately rented,3,bungalow,North West,England,5 or more,-0.45113097153837406
447,16052.9270045802,43460.8141167459,201 to 250,Post 1999,NA,5,end terrace,West Midlands,England,4,0.9693136393447914
448,13361.6591134457,22926.9464284073,50 or less,1965 to 1983,Privately rented,5,end terrace,York and Humber,England,2,-1.0125962058633555
449,13453.2468250706,34843.6805232607,Over 250,1965 to 1983,NA,6,converted flat,York and Humber,England,4,0.13759590522784407
450,17026.3633115475,28641.0209506384,201 to 250,Pre 1919,Privately rented,5,NA,North West,England,5 or more,-0.4610790380433682
451,9007.6918930121,15250.7572415345,151 to 200,1919 to 1944,Owner-occupied,3,bungalow,South East,England,1,-1.7534948594464523
452,13570.9141053646,38507.8263567432,101 to 150,1965 to 1983,Privately rented,4,purpose built flat,East Midlands,England,2,0.4912558592062925
453,15403.2762735266,49236.5664306385,101 to 150,1965 to 1983,Council/Housing Association,4,converted flat,Wales,Wales,5 or more,1.5267838903530004
454,12912.0214478617,24360.60191593,Over 250,Pre 1919,NA,6,end terrace,York and Humber,England,5 or more,-0.8742211092432691
455,15115.3265873251,25634.8789993131,50 or less,1965 to 1983,Council/Housing Association,5,end terrace,North East,England,2,-0.7512290682205083
456,13278.2260470052,22064.9125650851,51 to 100,1919 to 1944,Owner-occupied,5,purpose built flat,West Midlands,England,5 or more,-1.0957989140210276
457,21678.3653475146,36072.2940652321,51 to 100,Post 1999,Council/Housing Association,5,bungalow,East of England,England,2,0.25618054362853016
458,17755.0229028478,42726.3588550734,51 to 100,Post 1999,Council/Housing Association,4,purpose built flat,West Midlands,England,2,0.8984246993717182
459,27520.5995687323,52760.8114185217,201 to 250,1965 to 1983,NA,6,detached,York and Humber,England,5 or more,1.8669407446010622
460,11213.8710155442,34204.6177953299,201 to 250,1945 to 1964,Council/Housing Association,5,end terrace,East Midlands,England,4,0.07591416404710545
461,18190.7134689721,44031.709646726,50 or less,1965 to 1983,Owner-occupied,6,purpose built flat,North West,England,5 or more,1.0244159458671735
462,23757.6994151092,38017.7292397271,Over 250,1965 to 1983,Council/Housing Association,7,converted flat,North West,England,5 or more,0.44395214048826626
463,15967.2165322788,33121.8954505777,151 to 200,1965 to 1983,Council/Housing Association,6,detached,Wales,Wales,5 or more,-0.02858919144640855
464,9965.50716611991,35215.3887936769,201 to 250,Pre 1919,Privately rented,4,purpose built flat,NA,NA,4,0.17347284238671837
465,10297.5086714603,26528.8978834773,51 to 100,Pre 1919,Council/Housing Association,5,purpose built flat,North West,England,5 or more,-0.6649391955467259
466,14505.117491624,24308.6895278418,51 to 100,1984 to 1992,Owner-occupied,2,end terrace,North East,England,1,-0.8792316447450002
467,20337.1706201164,26153.2643848973,101 to 150,Post 1999,Privately rented,6,converted flat,North West,England,5 or more,-0.7011949920837065
468,17915.3998864215,61880.3474329168,Over 250,1984 to 1992,NA,6,mid terraced,South East,England,2,2.747149893943365
469,5388.53986088466,8439.36635667858,51 to 100,1919 to 1944,Council/Housing Association,4,converted flat,North East,England,3,-2.410923983815629
470,11624.3227390591,30742.0036498606,Over 250,1965 to 1983,Council/Housing Association,5,end terrace,York and Humber,England,5 or more,-0.25829413851052396
471,14621.1398710468,34271.96890065683,101 to 150,1984 to 1992,Privately rented,6,detached,South East,England,2,0.08241483020309245
472,8338.71993678521,35067.5788573518,50 or less,1945 to 1964,NA,5,purpose built flat,East Midlands,England,2,0.15920636456244192
473,17671.8762662714,34682.4784320763,151 to 200,1919 to 1944,Council/Housing Association,5,mid terraced,North East,England,5 or more,0.12203682905010352
474,3989.55934656817,27943.6643619465,51 to 100,1919 to 1944,Owner-occupied,5,end terrace,West Midlands,England,3,-0.528387248543534
475,15281.8959112754,50756.9599250876,Over 250,1965 to 1983,NA,5,mid terraced,South East,England,2,1.6735308588722513
476,12962.3188394888,34271.96890065683,50 or less,1993 to 1999,Owner-occupied,5,semi-detached,NA,NA,2,0.08241483020309245
477,12529.3810761753,26037.1135375445,201 to 250,1984 to 1992,Owner-occupied,6,mid terraced,York and Humber,England,5 or more,-0.7124057640333336
478,13432.5115320165,34271.96890065683,51 to 100,1965 to 1983,Privately rented,4,end terrace,West Midlands,England,2,0.08241483020309245
479,16025.3244603975,52275.555069945,51 to 100,Post 1999,Owner-occupied,3,converted flat,East of England,England,4,1.820104252358537
480,16376.7418723543,25936.608939994,Over 250,Pre 1919,NA,4,end terrace,West Midlands,England,2,-0.722106374478347
481,13683.1884181314,39211.8074204656,151 to 200,Pre 1919,Council/Housing Association,3,end terrace,York and Humber,England,4,0.5592034578861015
482,6312.93278874631,26455.5982818503,201 to 250,1945 to 1964,Council/Housing Association,4,converted flat,North East,England,1,-0.6720140050428877
483,8419.38990922579,33878.7923418306,151 to 200,1945 to 1964,NA,5,mid terraced,York and Humber,England,5 or more,0.04446579377848843
484,8288.40170002716,32110.5422365064,51 to 100,Pre 1919,NA,6,purpose built flat,South West,England,2,-0.12620406470718917
485,17965.4714010401,36512.6846562034,50 or less,Pre 1919,Council/Housing Association,6,purpose built flat,South East,England,2,0.298686634601286
486,13603.0233435518,36513.650192039,51 to 100,1965 to 1983,Council/Housing Association,5,converted flat,York and Humber,England,2,0.2987798272237149
487,15829.1892378095,23282.053195081,Over 250,Pre 1919,Privately rented,5,end terrace,West Midlands,England,3,-0.978321630432526
488,7902.44970529661,13674.3883849607,50 or less,Pre 1919,NA,4,bungalow,London,England,4,-1.9056445179492876
489,12338.894298083,37912.2776959927,50 or less,1919 to 1944,Council/Housing Association,5,purpose built flat,North West,England,1,0.4337740553904306
490,17098.1040859487,36657.9289377279,Over 250,1984 to 1992,NA,4,mid terraced,South East,England,2,0.3127054778062158
491,13886.4227311719,31461.1469862288,51 to 100,Pre 1919,Owner-occupied,7,mid terraced,South West,England,5 or more,-0.1888830913519119
492,14159.9206476176,17287.6089391024,51 to 100,1919 to 1944,NA,6,end terrace,West Midlands,England,5 or more,-1.5568998246527237
493,14347.8995111298,27819.1709873341,151 to 200,1984 to 1992,Council/Housing Association,5,end terrace,North East,England,2,-0.540403233478882
494,19909.4081680231,40413.782134442,201 to 250,Post 1999,NA,6,purpose built flat,North East,England,3,0.675216941340753
495,11995.0899155534,26283.3997909394,51 to 100,1984 to 1992,Owner-occupied,6,purpose built flat,North West,England,5 or more,-0.6886344435129436
496,17589.8327782377,37096.7375284715,151 to 200,1984 to 1992,Council/Housing Association,5,mid terraced,Wales,Wales,5 or more,0.3550588755857564
497,18556.0594712054,40886.3791040138,51 to 100,Post 1999,NA,8,purpose built flat,North East,England,5 or more,0.7208315620749568
498,9501.89746970593,27095.0935107947,51 to 100,1919 to 1944,Council/Housing Association,3,converted flat,Wales,Wales,2,-0.6102905192658595
499,15186.4223986822,37970.5043615196,50 or less,1965 to 1983,Owner-occupied,5,mid terraced,South West,England,2,0.43939403908823815
500,14611.3731414962,31133.5311488629,201 to 250,1965 to 1983,Council/Housing Association,5,mid terraced,Wales,Wales,5 or more,-0.22050426780910373
501,19120.6369105389,34866.2240656953,101 to 150,1984 to 1992,Privately rented,6,detached,Wales,Wales,4,0.13977178701373746
502,18625.4563582059,34980.3344961029,Over 250,Post 1999,Privately rented,6,purpose built flat,North East,England,4,0.15078561981417954
503,14650.4207221216,39416.6378688486,Over 250,1965 to 1983,Owner-occupied,5,mid terraced,Wales,Wales,1,0.5789735025951755
504,15249.8286285654,41711.7090579813,Over 250,1919 to 1944,NA,4,end terrace,East Midlands,England,5 or more,0.8004916429783865
505,11538.7744384707,52222.9553970748,51 to 100,1965 to 1983,Council/Housing Association,3,bungalow,South East,England,2,1.8150273807677366
506,13802.2789020005,23412.5142702615,151 to 200,Post 1999,NA,5,converted flat,York and Humber,England,5 or more,-0.9657296485788824
507,10197.8991838392,22448.2702999776,51 to 100,1965 to 1983,Owner-occupied,5,purpose built flat,East of England,England,5 or more,-1.058797581366506
508,10465.9422802094,35355.9152777618,Over 250,Pre 1919,Privately rented,4,purpose built flat,Wales,Wales,5 or more,0.187036328162879
509,9365.786820634,43564.8150914372,50 or less,Pre 1919,Owner-occupied,6,bungalow,East of England,England,2,0.9793517168653253
510,18283.9743291149,48490.9634268241,50 or less,1984 to 1992,NA,7,detached,East of England,England,5 or more,1.4548189806581873
511,19492.5826298848,33835.822459416,Over 250,1984 to 1992,Council/Housing Association,5,mid terraced,NA,NA,3,0.040318380621964404
512,12869.0799282594,25350.9702124986,50 or less,1965 to 1983,Council/Housing Association,3,NA,South West,England,4,-0.7786316807370148
513,9763.68142061556,44504.9643068827,Over 250,Post 1999,Council/Housing Association,5,end terrace,East Midlands,England,5 or more,1.0700940462860182
514,14277.631362015,47508.0696151528,51 to 100,Pre 1919,Owner-occupied,5,mid terraced,York and Humber,England,5 or more,1.3599509824947533
515,24380.2619040171,45021.6221930286,201 to 250,1945 to 1964,Privately rented,6,semi-detached,North East,England,2,1.1199613857808817
516,23511.9244353516,58063.1892768827,151 to 200,1984 to 1992,Owner-occupied,6,end terrace,Wales,Wales,2,2.3787213326520624
517,7202.97471799107,26044.8694651433,50 or less,Pre 1919,Privately rented,4,purpose built flat,North West,England,4,-0.7116571691022622
518,13114.1404476098,24285.1977009923,Over 250,1984 to 1992,Privately rented,6,NA,York and Humber,England,2,-0.881499054062213
519,21307.5615377798,39520.5351947097,151 to 200,1965 to 1983,Privately rented,5,semi-detached,East of England,England,1,0.5890015760268484
520,14493.7780823761,34037.2638725211,Over 250,Pre 1919,Privately rented,4,bungalow,South East,England,2,0.059761318792466704
521,21587.4739210724,25681.113560753,101 to 150,1965 to 1983,Council/Housing Association,6,converted flat,York and Humber,England,4,-0.7467665512754584
522,13215.1315994842,30428.6884538535,50 or less,Pre 1919,NA,5,semi-detached,York and Humber,England,5 or more,-0.28853503034077754
523,17284.6099072059,32120.87283229,201 to 250,Pre 1919,Privately rented,6,purpose built flat,South West,England,5 or more,-0.1252069651932965
524,15631.7896059881,39005.2387904967,201 to 250,1919 to 1944,Owner-occupied,5,converted flat,North East,England,5 or more,0.5392656455041206
525,28661.2633474202,42254.3316082737,101 to 150,1993 to 1999,Council/Housing Association,5,end terrace,London,England,1,0.8528650677505353
526,18651.0697786431,41887.3296190687,51 to 100,1965 to 1983,Council/Housing Association,6,converted flat,North West,England,5 or more,0.817442376484757
527,9427.64624038643,33325.4666254608,50 or less,Pre 1919,Council/Housing Association,4,mid terraced,South East,England,1,-0.008940690646408856
528,12043.661163348,28267.6356300128,50 or less,1965 to 1983,Council/Housing Association,5,mid terraced,York and Humber,England,5 or more,-0.4971178425314455
529,16263.835607032801,34627.3428269977,Over 250,Post 1999,Owner-occupied,5,mid terraced,East of England,England,5 or more,0.11671519163696097
530,6417.76187839166,47620.408094027,51 to 100,1919 to 1944,Council/Housing Association,3,detached,North East,England,2,1.3707937881783079
531,6838.47746322748,40235.0608098947,201 to 250,1984 to 1992,Privately rented,4,detached,South East,England,2,0.6579669250240462
532,9797.78702844398,43208.2115137377,101 to 150,1984 to 1992,NA,7,end terrace,North West,England,2,0.9449326706239554
533,13152.9477723484,32511.8324250781,50 or less,1945 to 1964,Council/Housing Association,5,converted flat,East of England,England,5 or more,-0.08747190827241497
534,20030.4757379777,30885.6396909942,Over 250,Post 1999,NA,7,detached,Wales,Wales,2,-0.24443052117499986
535,13469.5726185527,37626.8375835548,201 to 250,Pre 1919,Council/Housing Association,5,NA,London,England,5 or more,0.406223640746468
536,15365.0737348894,34762.5464701432,151 to 200,1945 to 1964,Council/Housing Association,4,purpose built flat,North East,England,5 or more,0.12976492174748708
538,11602.7633589517,12380.7687090588,50 or less,1965 to 1983,Owner-occupied,5,bungalow,North East,England,3,-2.0305034880438977
539,20564.862974781,37366.9857325485,51 to 100,1919 to 1944,Owner-occupied,5,semi-detached,East of England,England,1,0.3811429813392087
540,9904.66746012288,42653.6168977147,51 to 100,1945 to 1964,NA,4,purpose built flat,York and Humber,England,2,0.8914037131826047
541,13671.8891092753,12854.9276751365,201 to 250,1993 to 1999,NA,4,end terrace,South West,England,4,-1.9847381048571346
542,13153.9080199067,29541.8308398355,50 or less,1919 to 1944,Privately rented,6,mid terraced,South East,England,4,-0.374133703868721
543,16966.9907222917,38847.6929383287,Over 250,Pre 1919,Owner-occupied,6,semi-detached,South East,England,4,0.5240594661217142
544,21627.3116739293,38253.0724608897,50 or less,1919 to 1944,Council/Housing Association,6,converted flat,East of England,England,5 or more,0.4666672496973337
545,16886.0582408107,26929.6398268855,51 to 100,1984 to 1992,Council/Housing Association,7,end terrace,East Midlands,England,4,-0.6262599552261304
546,20655.8220431994,38206.7558425154,50 or less,1919 to 1944,Privately rented,6,purpose built flat,West Midlands,England,4,0.462196812693159
547,17967.9885033302,49224.3927831237,51 to 100,Post 1999,Owner-occupied,7,purpose built flat,London,England,5 or more,1.5256089011971399
548,11952.3521283501,18181.0713630175,50 or less,1965 to 1983,Council/Housing Association,4,bungalow,NA,NA,2,-1.470663661005555
549,15015.4755336865,47034.4837697216,Over 250,1945 to 1964,NA,6,detached,South East,England,2,1.3142409163806927
550,20627.0811117411,47869.1726756831,Over 250,Post 1999,NA,5,purpose built flat,North West,England,2,1.3948043146415374
551,7893.01424908712,15231.769929313,50 or less,Pre 1919,Privately rented,7,end terrace,North East,England,4,-1.7553274971938555
552,16068.4793255115,20804.9828568572,50 or less,Pre 1919,Owner-occupied,6,purpose built flat,London,England,2,-1.2174061597142103
553,13979.972792377,33110.0029066118,201 to 250,Pre 1919,Council/Housing Association,4,end terrace,West Midlands,England,1,-0.029737048748711754
554,18467.6222205054,39874.8741251937,Over 250,Post 1999,NA,5,bungalow,York and Humber,England,1,0.6232020406215236
555,17914.0301691855,47745.9715229731,50 or less,1919 to 1944,NA,5,mid terraced,North East,England,3,1.3829130537644838
556,15966.5884341634,34388.3191877572,151 to 200,1919 to 1944,NA,5,end terrace,South East,England,5 or more,0.09364485189199138
557,21133.3371996872,43751.7220807739,Over 250,1919 to 1944,Council/Housing Association,5,end terrace,London,England,4,0.9973918059477629
558,8045.46984057955,39005.2666257446,Over 250,1919 to 1944,Privately rented,4,semi-detached,West Midlands,England,4,0.539268332136405
559,18610.3451421145,48285.9344668378,Over 250,1984 to 1992,NA,6,end terrace,West Midlands,England,5 or more,1.4350297757934654
560,7810.0593706846,34445.0002307336,Over 250,1965 to 1983,Owner-occupied,4,detached,South East,England,5 or more,0.09911565353621316
561,17207.3440703267,38990.9593845719,151 to 200,Post 1999,Council/Housing Association,4,detached,South East,England,2,0.5378874105015562
562,15049.108876491,37399.6105817995,101 to 150,Post 1999,Council/Housing Association,5,detached,East of England,England,5 or more,0.38429190149932574
563,18855.3923570435,48826.8999236203,51 to 100,1919 to 1944,Council/Housing Association,4,converted flat,East of England,England,2,1.4872432594385188
564,15003.4898806821,44099.526535955,Over 250,1919 to 1944,Privately rented,5,detached,South West,England,2,1.0309615690529452
565,7857.12036625908,26188.554915501,101 to 150,1965 to 1983,Privately rented,6,bungalow,East of England,England,1,-0.6977887828343006
566,5954.978241803,28301.6910527797,201 to 250,1993 to 1999,Council/Housing Association,4,mid terraced,Wales,Wales,2,-0.49383084474374767
567,17004.8681114494,51590.2593252349,201 to 250,Pre 1919,Privately rented,5,end terrace,NA,NA,5 or more,1.753960143321956
568,14341.4775745975,34271.96890065683,50 or less,1945 to 1964,Council/Housing Association,2,purpose built flat,West Midlands,England,4,0.08241483020309245
569,12184.1560455885,21880.1409035151,50 or less,1965 to 1983,NA,6,end terrace,South West,England,4,-1.113632903249906
570,13313.5695105525,45669.7831387997,50 or less,1919 to 1944,Owner-occupied,3,detached,London,England,2,1.1825212785005912
571,11749.6351682246,29789.3287056766,51 to 100,Post 1999,Owner-occupied,5,bungalow,East Midlands,England,2,-0.35024543963990995
572,13979.9363566151,18065.0425079471,51 to 100,1965 to 1983,Privately rented,5,end terrace,East of England,England,5 or more,-1.4818626583733454
573,10621.1440794078,41571.2129965301,50 or less,Pre 1919,Owner-occupied,3,purpose built flat,East Midlands,England,2,0.7869310935665852
574,6064.46937347929,25789.7664068198,51 to 100,1919 to 1944,Privately rented,7,semi-detached,South East,England,4,-0.7362794794486556
575,13707.9048306046,41562.3605598926,Over 250,1984 to 1992,Owner-occupied,5,detached,Wales,Wales,2,0.7860766646011204
576,19193.6290626153,56046.9212302127,Over 250,1919 to 1944,Privately rented,6,mid terraced,York and Humber,England,2,2.1841130127327086
577,22800.013306816,51558.3168228346,Over 250,1984 to 1992,Privately rented,4,semi-detached,South West,England,5 or more,1.7508770826463627
578,14671.8992703385,30156.8948040351,151 to 200,1993 to 1999,Owner-occupied,5,detached,West Midlands,England,2,-0.31476830108236625
579,14311.6727339613,31850.2143305547,151 to 200,Pre 1919,NA,4,end terrace,East of England,England,2,-0.1513306724957992
580,18834.8963264202,28328.2633587911,151 to 200,1965 to 1983,Privately rented,5,end terrace,West Midlands,England,5 or more,-0.49126611043780954
581,14893.7736608616,25996.626187775,50 or less,Post 1999,Owner-occupied,5,semi-detached,North East,England,4,-0.7163135654437872
582,12775.8190588539,36176.4785470979,50 or less,1945 to 1964,Privately rented,5,converted flat,North East,England,5 or more,0.26623633309117495
583,7128.19006314289,23246.764018682,201 to 250,1965 to 1983,Privately rented,5,bungalow,North West,England,5 or more,-0.9817277089753514
584,9180.95348016865,34222.8663388802,Over 250,Pre 1919,Privately rented,4,bungalow,East Midlands,England,4,0.07767549652825301
585,16421.8836384279,42970.2539612233,151 to 200,1919 to 1944,Council/Housing Association,4,end terrace,East of England,England,4,0.9219652285800122
586,8331.33897986447,30629.4419907968,50 or less,Pre 1919,Owner-occupied,4,converted flat,North East,England,2,-0.26915848533877385
587,19207.2369813935,34196.8353474096,Over 250,1919 to 1944,NA,5,purpose built flat,East Midlands,England,2,0.07516300939922504
588,8822.08991988815,13705.4059089883,50 or less,1919 to 1944,Owner-occupied,5,end terrace,South East,England,4,-1.9026507353274587
589,13819.8231957824,33702.1847170719,151 to 200,1945 to 1964,NA,5,mid terraced,Wales,Wales,2,0.02741978980297424
590,14650.105257441,23739.4713828477,51 to 100,Post 1999,NA,5,end terrace,North West,England,4,-0.9341720516258535
591,14604.1859430036,39439.1621350456,151 to 200,1945 to 1964,Council/Housing Association,4,end terrace,West Midlands,England,5 or more,0.581147523856512
592,15320.1085037076,41331.1704049313,Over 250,1945 to 1964,Privately rented,3,purpose built flat,South West,England,4,0.7637624054860088
593,17253.5889475054,38959.5543453265,50 or less,1965 to 1983,Owner-occupied,4,end terrace,South West,England,1,0.5348562252706824
594,14111.5195759314,23207.7894754403,50 or less,1919 to 1944,Owner-occupied,4,bungalow,London,England,5 or more,-0.9854894957042629
595,13580.8396656998,25332.7662273875,51 to 100,1965 to 1983,Privately rented,5,purpose built flat,South West,England,1,-0.7803887124789795
596,15355.529648884,29541.2700647283,Over 250,1919 to 1944,Council/Housing Association,6,mid terraced,North East,England,2,-0.3741878293614325
597,12778.8792929411,32983.3318764727,Over 250,1984 to 1992,Owner-occupied,5,mid terraced,East of England,England,3,-0.041963218973715855
598,21324.1356739143,62046.5776102187,Over 250,1984 to 1992,Owner-occupied,3,semi-detached,York and Humber,England,2,2.763194276324987
599,5249.36859823445,15588.2892922631,51 to 100,1919 to 1944,NA,6,end terrace,Wales,Wales,2,-1.7209165792819114
600,19114.8684639232,17664.1105457276,50 or less,1919 to 1944,NA,5,bungalow,York and Humber,England,4,-1.52056023913319
601,13582.3291997377,31268.64284818,Over 250,1984 to 1992,Council/Housing Association,4,bungalow,South West,England,2,-0.2074634120315322
602,16491.5776861245,27407.1047696783,50 or less,Post 1999,Council/Housing Association,4,purpose built flat,West Midlands,England,2,-0.5801754822361637
603,18941.5063685086,17348.4883737351,Over 250,1919 to 1944,Council/Housing Association,5,converted flat,London,England,2,-1.55102379814371
604,18284.3708217311,28842.2134625043,151 to 200,1919 to 1944,Owner-occupied,6,purpose built flat,South West,England,2,-0.44166012358938866
605,11795.2484533553,27143.2575435687,50 or less,1945 to 1964,Privately rented,5,bungalow,London,England,1,-0.605641771539004
606,21442.4745633658,29815.9404633412,101 to 150,1919 to 1944,Council/Housing Association,5,converted flat,Wales,Wales,4,-0.3476768974970324
607,7624.93259640434,33224.9497587457,50 or less,1945 to 1964,Privately rented,4,bungalow,West Midlands,England,5 or more,-0.018642485299798502
608,18405.2504154361,45624.7746498312,Over 250,Post 1999,NA,5,semi-detached,South East,England,2,1.1781771009321695
609,12440.738198644,28235.3964930031,50 or less,Post 1999,Council/Housing Association,6,converted flat,East of England,England,4,-0.5002295341041356
610,6346.83379534956,11421.0087184808,201 to 250,Pre 1919,Owner-occupied,6,mid terraced,Wales,Wales,1,-2.123138631273328
611,6570.93086291937,31054.8742738149,Over 250,1965 to 1983,Council/Housing Association,4,purpose built flat,York and Humber,England,1,-0.2280961563620562
612,15723.9301553392,26505.2498291409,51 to 100,Pre 1919,Owner-occupied,3,bungalow,South West,England,1,-0.6672216837959293
613,24299.1539690454,35174.8132016873,51 to 100,1919 to 1944,Privately rented,5,end terrace,West Midlands,England,5 or more,0.16955652391910625
614,15846.5594867704,36014.4304703163,151 to 200,Post 1999,Owner-occupied,5,NA,London,England,4,0.2505956031690237
615,19563.9617224961,29147.8577542535,151 to 200,1984 to 1992,Owner-occupied,5,purpose built flat,South West,England,3,-0.4121596203162803
616,18297.6637657734,34275.8785807718,51 to 100,1965 to 1983,Owner-occupied,7,detached,South West,England,5 or more,0.0827921888979611
617,11821.5884003276,23454.3717673581,51 to 100,1984 to 1992,Owner-occupied,5,bungalow,West Midlands,England,5 or more,-0.9616896018204905
618,18796.9833685853,41191.2285777396,51 to 100,Post 1999,Council/Housing Association,6,end terrace,North East,England,3,0.7502553502503725
619,16189.3702322166,27046.2616741187,50 or less,1965 to 1983,Privately rented,5,mid terraced,West Midlands,England,3,-0.6150037228053331
620,15556.8491108825,26446.3972452946,Over 250,1945 to 1964,Owner-occupied,5,end terrace,West Midlands,England,4,-0.6729020805488098
621,19000.9943457666,28726.8183783924,50 or less,1965 to 1983,NA,6,purpose built flat,London,England,2,-0.4527979499726706
622,17901.3407560864,36746.0493632375,201 to 250,1984 to 1992,Owner-occupied,4,detached,NA,NA,4,0.3212107794635648
623,11944.6543642439,42145.3994700195,Over 250,Pre 1919,Privately rented,5,end terrace,North East,England,2,0.8423510389011054
624,16375.2927108487,26825.7895275612,51 to 100,Pre 1919,Privately rented,5,bungalow,North West,England,5 or more,-0.6362834897001319
625,10793.0558160169,31690.2368233585,51 to 100,1965 to 1983,Council/Housing Association,6,end terrace,Wales,Wales,3,-0.16677155296392782
626,17394.0771296438,30006.6195270106,51 to 100,1945 to 1964,Council/Housing Association,5,mid terraced,London,England,2,-0.32927273130207485
627,12784.0942396479,21430.5109825485,Over 250,1965 to 1983,Council/Housing Association,5,end terrace,South West,England,2,-1.1570307657758219
628,16620.1436460996,45584.5294157003,51 to 100,Post 1999,Privately rented,5,mid terraced,South East,England,2,1.1742926682983688
629,16256.2436792588,29699.0001295107,51 to 100,Post 1999,Council/Housing Association,5,bungalow,East of England,England,5 or more,-0.3589638699485117
630,13489.505622129,47458.2708866507,Over 250,Post 1999,NA,3,purpose built flat,East of England,England,1,1.355144455453907
631,16679.7714389072,29014.9926193919,50 or less,1984 to 1992,Council/Housing Association,6,semi-detached,Wales,Wales,2,-0.4249836397783644
632,17151.7558398534,42047.850475402,Over 250,1945 to 1964,Owner-occupied,5,detached,North West,England,2,0.8329357005071419
633,13659.6910355493,42856.8256208372,151 to 200,1945 to 1964,Council/Housing Association,5,end terrace,East of England,England,2,0.9110172304751782
634,19741.5086380587,58471.2358076456,Over 250,1984 to 1992,NA,5,mid terraced,East of England,England,2,2.418105604962402
635,20699.8856144458,31621.0112214021,Over 250,Post 1999,Owner-occupied,6,mid terraced,West Midlands,England,2,-0.17345314379426946
636,11788.9413969265,31347.3838505587,201 to 250,1919 to 1944,Council/Housing Association,5,converted flat,West Midlands,England,4,-0.199863403586726
637,11291.582916967,38889.5639799339,50 or less,1919 to 1944,Council/Housing Association,6,converted flat,West Midlands,England,5 or more,0.528100820183501
638,16886.850531786,30954.1647239251,50 or less,Post 1999,Privately rented,6,mid terraced,South East,England,5 or more,-0.23781654861657686
639,10699.4314524049,35121.3591733171,51 to 100,Pre 1919,Privately rented,5,mid terraced,South East,England,4,0.16439719072864736
640,12710.7829296839,27511.2878954554,50 or less,1984 to 1992,Privately rented,4,end terrace,East of England,England,4,-0.570119823661941
641,18143.1654295312,26280.3870408687,Over 250,1993 to 1999,Owner-occupied,6,end terrace,South West,England,4,-0.6889252313526675
642,12174.2215144058,10085.9420998125,50 or less,1945 to 1964,Council/Housing Association,5,purpose built flat,London,England,2,-2.2519980218035465
643,6299.01552897588,30044.7868489797,50 or less,1919 to 1944,Privately rented,5,purpose built flat,London,England,5 or more,-0.3255888568209537
644,17542.6425585586,33091.0913922848,151 to 200,1945 to 1964,Privately rented,4,converted flat,South East,England,2,-0.03156237055371041
645,7710.78532859315,42685.9620037359,151 to 200,Post 1999,Privately rented,5,end terrace,London,England,5 or more,0.8945256327859006
646,8786.34626266842,17236.3882621448,151 to 200,1919 to 1944,Council/Housing Association,5,purpose built flat,East Midlands,England,1,-1.5618435968383282
647,1574.25107145916,16018.2509314484,51 to 100,Pre 1919,Owner-occupied,5,bungalow,East Midlands,England,2,-1.6794170810530844
648,18263.1634903255,44550.223245383,Over 250,Post 1999,Council/Housing Association,5,detached,South East,England,5 or more,1.0744623970107265
649,15750.5017178348,32084.3468762915,151 to 200,1984 to 1992,NA,4,bungalow,North West,England,4,-0.12873241655481354
650,16665.1105815379,39990.844669433,101 to 150,1965 to 1983,Privately rented,6,end terrace,York and Humber,England,3,0.6343954098820325
651,18324.2822206188,49705.676008271,Over 250,1984 to 1992,Privately rented,4,mid terraced,West Midlands,England,2,1.5720619112549905
652,14478.8208793029,53631.6850679947,Over 250,Pre 1919,NA,5,end terrace,South West,England,4,1.950996660710968
653,9866.02989444542,29221.3237690585,51 to 100,1919 to 1944,Council/Housing Association,4,end terrace,North West,England,3,-0.4050687487746792
654,17102.9708582441,28019.8519320965,Over 250,1945 to 1964,Owner-occupied,4,end terrace,South West,England,2,-0.5210336950067825
655,20311.7192243887,28869.1945687575,51 to 100,1965 to 1983,NA,5,purpose built flat,West Midlands,England,1,-0.43905593226365075
656,8156.20265308628,21947.6088776467,Over 250,1919 to 1944,Privately rented,5,bungalow,South East,England,5 or more,-1.107120957025396
657,12030.5347918565,26878.3458202795,151 to 200,1993 to 1999,Privately rented,5,purpose built flat,East Midlands,England,4,-0.6312108051213178
658,13392.5723211525,20881.599087691,101 to 150,Post 1999,Privately rented,4,bungalow,West Midlands,England,4,-1.210011232246236
659,9070.51456493221,33544.4363100381,Over 250,1984 to 1992,Privately rented,5,converted flat,South West,England,2,0.012194060012977802
660,17670.9188840336,49728.0265325078,201 to 250,1993 to 1999,NA,5,semi-detached,East Midlands,England,5 or more,1.574219163103634
661,12064.0764668882,26753.5141185054,50 or less,1984 to 1992,Owner-occupied,6,purpose built flat,Wales,Wales,5 or more,-0.6432594450802028
662,20110.2025891116,29085.747571699,Over 250,Post 1999,Council/Housing Association,3,mid terraced,West Midlands,England,1,-0.4181544374720537
663,14891.2943021841,21767.9410927887,51 to 100,1919 to 1944,Council/Housing Association,6,semi-detached,East Midlands,England,2,-1.1244623248125778
664,17816.9013893519,43759.5001995954,Over 250,Post 1999,NA,4,purpose built flat,South East,England,5 or more,0.9981425427550467
665,21428.567762198,40405.2831405685,101 to 150,1945 to 1964,NA,6,detached,North West,England,5 or more,0.6743966263427255
666,15811.1484753383,16772.8165601802,51 to 100,1919 to 1944,Privately rented,4,NA,North West,England,4,-1.6065871071223314
